Time;Fp2-F4;F4-C4;C4-P4;P4-O2;C4-A1
82.031.250;-187.576;-143.620;-24.878;-13.584;106.990
82.050.781;-166.819;-154.304;-28.846;-20.604;76.465
82.070.313;-160.104;-157.967;-30.678;-23.046;39.530
82.089.844;-157.357;-158.272;-32.204;-23.657;-0.7784
82.109.375;-170.177;-160.104;-34.951;-27.625;-57.234
82.128.906;-198.260;-164.988;-36.477;-32.814;-86.233
82.148.438;-229.396;-167.430;-36.172;-35.867;-92.949
82.167.969;-260.226;-163.462;-33.730;-34.646;-88.065
82.187.500;-288.614;-154.609;-29.457;-29.762;-77.991
82.207.031;-315.171;-143.620;-23.962;-21.825;-64.866
82.226.563;-342.033;-132.631;-19.078;-13.584;-53.571
82.246.094;-363.095;-124.084;-16.636;-0.5952;-56.013
82.265.625;-368.284;-120.726;-16.331;-0.0458;-83.181
82.285.156;-353.632;-125.305;-18.773;0.1984;-141.789
82.304.688;-316.087;-138.126;-23.657;-0.0458;-210.775
82.324.219;-247.405;-156.746;-33.120;-0.9921;-239.774
82.343.750;-172.619;-173.840;-45.330;-21.825;-219.628
82.363.281;-137.821;-179.640;-54.182;-28.236;-175.672
82.382.813;-142.705;-175.366;-56.929;-29.457;-121.337
82.402.344;-158.272;-169.567;-56.929;-30.983;-74.328
82.421.875;-165.598;-169.567;-57.234;-35.256;-41.667
82.441.406;-139.957;-178.114;-58.150;-41.667;-0.5037
82.460.938;-72.192;-188.187;-57.540;-45.940;36.172
82.480.469;0.1068;-189.103;-54.182;-46.856;53.877
82.500.000;71.276;-186.661;-48.993;-44.414;40.140
82.519.531;189.713;-197.650;-46.551;-39.530;0.9615
82.539.063;347.527;-219.322;-47.161;-32.814;-32.204
82.558.594;433.913;-228.175;-44.414;-22.741;-80.433
82.578.125;391.178;-208.944;-35.256;-10.226;-130.495
82.597.656;262.973;-168.040;-23.657;-0.0153;-188.492
82.617.188;119.505;-123.168;-13.584;0.5342;-251.984
82.636.719;21.825;-89.591;-0.5952;0.9310;-297.466
82.656.250;-23.657;-68.834;0.0458;14.194;-306.929
82.675.781;-55.098;-52.045;0.6563;19.078;-286.477
82.695.313;-85.623;-34.951;12.668;22.436;-257.173
82.714.844;-116.148;-18.773;16.331;22.741;-222.375
82.734.375;-148.199;-0.7479;16.331;16.941;-176.893
82.753.906;-155.525;-0.5647;13.278;0.6868;-136.905
82.773.438;-123.168;-13.889;0.5647;-0.5647;-114.927
82.792.969;-63.950;-27.930;-0.5952;-21.825;-109.127
82.812.500;27.015;-46.551;-19.383;-38.919;-116.453
82.832.031;132.021;-65.476;-29.762;-48.687;-129.579
82.851.563;182.998;-74.023;-34.341;-46.245;-139.957
82.871.094;172.009;-73.413;-36.172;-37.698;-144.841
82.890.625;185.440;-82.875;-41.972;-33.425;-151.252
82.910.156;275.488;-110.348;-52.961;-38.919;-168.651
82.929.688;368.895;-135.989;-61.813;-48.077;-188.187
82.949.219;376.526;-139.042;-61.203;-48.993;-181.471
82.968.750;292.888;-115.232;-50.214;-40.751;-150.031
82.988.281;170.177;-76.770;-33.730;-27.320;-137.210
83.007.813;65.781;-43.498;-17.857;-10.531;-146.978
83.027.344;0.0153;-25.183;-0.5647;0.5342;-140.568
83.046.875;-42.582;-15.110;0.1679;12.668;-113.095
83.066.406;-82.875;-0.4121;0.5037;0.7173;-89.591
83.085.938;-117.979;0.5952;0.4121;-0.4121;-85.623
83.105.469;-130.800;0.9005;0.1374;-12.973;-95.085
83.125.000;-110.958;0.4426;-0.0458;-11.142;-101.496
83.144.531;-63.950;-0.4121;0.0458;0.2289;-95.391
83.164.063;-0.0763;-14.194;0.2595;18.773;-79.212
83.183.594;64.255;-23.657;0.3510;28.541;-67.613
83.203.125;112.790;-29.762;0.1984;28.236;-72.497
83.222.656;135.684;-33.730;-0.1984;19.383;-85.623
83.242.188;141.789;-38.919;-0.7173;0.6868;-93.864
83.261.719;144.536;-44.109;-0.9005;-0.1679;-103.022
83.281.250;139.957;-45.024;-0.7479;-0.4121;-114.621
83.300.781;128.663;-41.056;-0.5952;-0.5342;-117.674
83.320.313;139.957;-39.835;-0.7784;-10.836;-119.811
83.339.844;180.861;-49.298;-13.584;-18.773;-140.873
83.359.375;222.985;-65.476;-19.994;-23.352;-170.788
83.378.906;257.173;-79.212;-25.488;-23.352;-181.471
83.398.438;279.457;-85.012;-29.457;-21.825;-171.398
83.417.969;271.825;-80.739;-31.288;-19.078;-159.799
83.437.500;232.448;-65.781;-29.762;-13.889;-159.493
83.457.031;179.945;-43.498;-26.099;-0.7784;-167.125
83.476.563;123.474;-19.383;-21.825;-0.2289;-175.672
83.496.094;63.645;0.2595;-16.331;0.4426;-197.955
83.515.625;18.773;21.520;-0.9310;13.584;-248.321
83.535.156;-0.3510;35.867;-0.1374;24.267;-309.676
83.554.688;-19.383;44.109;0.5342;33.120;-359.127
83.574.219;-30.067;45.024;0.8394;34.951;-387.515
83.593.750;-24.878;39.225;0.9310;31.593;-380.494
83.613.281;-0.1068;29.762;10.836;29.762;-342.033
83.632.813;31.288;19.689;13.278;31.593;-310.592
83.652.344;59.676;11.447;16.636;35.562;-294.414
83.671.875;73.718;0.7784;20.910;42.277;-262.973
83.691.406;69.750;0.8089;24.573;50.214;-216.270
83.710.938;54.487;10.226;27.320;57.845;-178.419
83.730.469;39.225;12.057;29.151;64.866;-155.830
83.750.000;29.762;13.584;30.983;68.834;-145.452
83.769.531;29.457;15.720;31.593;67.613;-133.547
83.789.063;39.530;17.857;30.372;62.424;-112.485
83.808.594;61.508;17.552;28.846;57.540;-93.864
83.828.125;92.949;15.110;28.846;56.013;-71.886
83.847.656;125.305;13.278;31.593;58.455;-38.614
83.867.188;145.452;16.331;35.867;63.645;-10.531
83.886.719;146.062;24.573;40.751;71.886;0.2289
83.906.250;138.431;35.562;46.245;84.707;-0.1068
83.925.781;137.515;47.161;52.350;100.275;-21.825
83.945.313;132.937;56.624;57.540;111.874;-51.129
83.964.844;122.253;56.929;59.066;112.485;-86.844
83.984.375;120.726;45.024;55.098;102.717;-131.716
84.003.906;125.611;28.236;48.077;85.928;-185.440
84.023.438;127.747;12.668;40.140;63.950;-228.480
84.042.969;125.000;-0.0458;30.983;39.225;-233.364
84.062.500;115.232;-0.9615;22.436;17.247;-200.397
84.082.031;95.696;-12.363;18.162;0.5952;-156.441
84.101.563;67.308;-0.7173;20.604;0.8089;-126.526
84.121.094;35.867;0.4731;25.794;16.941;-112.790
84.140.625;0.8700;19.994;29.457;22.131;-98.443
84.160.156;-0.2595;34.341;29.457;22.436;-73.107
84.179.688;0.9005;42.582;27.320;19.689;-38.919
84.199.219;36.172;42.888;23.046;12.973;-12.668
84.218.750;65.476;38.919;17.857;0.5037;-0.4426
84.238.281;93.254;32.814;12.668;-0.0763;-0.4121
84.257.813;116.453;23.962;0.5952;-0.6258;-0.2595
84.277.344;129.579;13.584;-0.0763;-11.142;-0.8394
84.296.875;132.021;0.3510;-0.7784;-15.720;-16.026
84.316.406;135.684;-0.6563;-16.026;-20.604;-0.6563
84.335.938;151.252;-18.162;-26.099;-25.488;16.331
84.355.469;166.819;-26.404;-34.341;-28.846;43.803
84.375.000;161.935;-27.320;-37.393;-30.067;70.055
84.394.531;143.315;-24.573;-33.730;-27.015;87.454
84.414.063;143.620;-23.962;-25.794;-16.636;96.612
84.433.594;189.103;-29.457;-17.857;-0.1068;93.864
84.453.125;268.773;-38.309;-11.447;14.194;73.413
84.472.656;316.697;-43.193;-0.7479;23.657;30.983
84.492.188;300.214;-45.940;-0.8089;19.994;-34.646
