Time;Fp2-F4;F4-C4;C4-P4;P4-O2;C4-A1
175.781.250;278.236;24.878;38.309;-46.551;66.392
175.800.781;260.836;22.436;32.814;-51.740;78.907
175.820.313;236.722;25.183;29.151;-54.487;91.117
175.839.844;202.534;35.562;29.762;-52.350;107.295
175.859.375;161.325;50.214;34.341;-46.856;119.505
175.878.906;119.505;64.866;40.751;-40.751;131.105
175.898.438;83.486;77.991;47.772;-33.425;146.368
175.917.969;58.150;88.370;55.098;-23.046;146.062
175.937.500;51.435;94.780;61.203;-11.752;134.158
175.957.031;76.465;96.612;64.866;-0.3816;136.600
175.976.563;134.768;93.559;66.697;-0.0153;143.620
175.996.094;210.775;86.538;68.529;0.1679;135.073
176.015.625;270.910;77.381;69.750;0.4426;117.979
176.035.156;281.593;69.139;69.750;0.7173;101.190
176.054.688;254.731;64.560;70.971;10.836;86.233
176.074.219;217.186;62.729;73.718;13.584;77.991
176.093.750;171.398;63.034;76.160;13.278;78.602
176.113.281;123.168;64.866;77.991;10.226;86.844
176.132.813;82.265;67.613;78.907;0.5952;86.233
176.152.344;50.214;70.665;77.686;0.0153;72.497
176.171.875;24.878;73.718;73.413;-10.531;64.255
176.191.406;0.8089;77.076;67.613;-25.794;56.624
176.210.938;0.5952;79.518;62.729;-43.498;25.794
176.230.469;20.604;81.654;59.371;-61.203;-29.457
176.250.000;41.972;81.349;55.708;-78.907;-77.381
176.269.531;66.697;74.328;49.603;-96.917;-88.370
176.289.063;105.464;59.371;40.446;-111.569;-69.139
176.308.594;155.525;42.277;30.678;-121.337;-34.951
176.328.125;193.376;32.204;23.657;-128.053;0.4731
176.347.656;205.586;30.372;19.994;-132.631;36.172
176.367.188;197.344;32.814;19.383;-132.937;47.466
176.386.719;175.366;35.867;22.131;-129.579;33.120
176.406.250;159.188;34.951;25.183;-125.000;0.0153
176.425.781;161.630;29.457;26.099;-119.505;-37.088
176.445.313;158.883;24.878;25.488;-113.095;-67.918
176.464.844;126.832;27.625;25.183;-103.938;-80.433
176.484.375;73.718;36.783;27.625;-90.507;-77.686
176.503.906;21.215;46.245;32.204;-73.107;-97.527
176.523.438;0.3510;42.277;34.951;-56.319;-154.915
176.542.969;75.549;12.668;32.204;-45.330;-218.101
176.562.500;240.385;-34.646;24.267;-41.361;-267.247
176.582.031;385.073;-73.107;15.110;-43.193;-301.129
176.601.563;412.546;-84.402;0.8700;-48.382;-305.708
176.621.094;374.695;-74.023;0.6258;-53.266;-275.183
176.640.625;356.685;-56.929;0.5342;-56.013;-230.311
176.660.156;327.991;-38.004;0.4731;-56.624;-190.018
176.679.688;227.259;-17.247;0.3205;-56.624;-157.662
176.699.219;87.454;-0.0458;0.1068;-57.845;-123.474
176.718.750;0.0458;0.2900;-0.2900;-63.034;-92.643
176.738.281;-0.7173;-10.531;-11.447;-74.328;-77.686
176.757.813;-0.5342;-32.509;-23.046;-90.507;-75.549
176.777.344;-46.245;-46.245;-33.425;-106.685;-76.465
176.796.875;-118.284;-50.824;-40.751;-119.811;-82.265
176.816.406;-195.208;-52.656;-46.245;-130.800;-101.190
176.835.938;-238.248;-59.676;-50.519;-140.873;-141.484
176.855.469;-197.039;-80.128;-56.929;-149.115;-207.418
176.875.000;-62.729;-115.232;-66.697;-155.830;-275.794
176.894.531;81.960;-148.810;-75.855;-161.935;-320.665
176.914.063;121.947;-160.409;-79.212;-166.819;-345.696
176.933.594;32.814;-144.841;-75.549;-168.956;-344.170
176.953.125;-128.968;-114.011;-67.308;-169.261;-309.371
176.972.656;-305.403;-82.265;-56.319;-169.567;-257.173
176.992.188;-453.144;-59.066;-45.635;-172.009;-209.554
177.011.719;-536.477;-50.824;-38.309;-175.672;-183.303
177.031.250;-527.320;-60.287;-36.172;-176.893;-173.535
177.050.781;-435.134;-82.570;-37.088;-173.840;-170.177
177.070.313;-295.024;-105.464;-38.614;-165.293;-174.756
177.089.844;-157.051;-121.642;-38.004;-151.252;-188.187
177.109.375;-70.665;-131.410;-34.646;-133.242;-201.923
177.128.906;-36.783;-135.989;-30.372;-113.400;-206.197
177.148.438;-42.888;-130.800;-24.573;-93.864;-200.397
177.167.969;-91.422;-111.569;-15.110;-76.160;-185.440
177.187.500;-177.808;-82.875;-0.1679;-62.424;-163.462
177.207.031;-286.172;-50.519;11.752;-55.403;-150.336
177.226.563;-403.083;-19.078;22.131;-53.571;-165.598
177.246.094;-516.941;0.8394;28.846;-53.877;-214.133
177.265.625;-608.822;31.288;32.814;-56.319;-276.099
177.285.156;-665.598;46.551;33.730;-61.813;-315.781
177.304.688;-685.745;52.961;31.899;-70.971;-314.255
177.324.219;-672.924;51.129;27.625;-81.654;-288.919
177.343.750;-632.937;43.193;22.436;-92.338;-259.310
177.363.281;-571.886;29.457;16.331;-102.717;-222.680
177.382.813;-499.542;12.363;10.531;-109.127;-173.840
177.402.344;-429.335;-0.4426;0.5647;-109.127;-128.968
