Time;Fp2-F4;F4-C4;C4-P4;P4-O2;C4-A1
0.0000;-64.560;-0.5037;-31.593;-18.773;-530.372
19.531;-123.779;-20.910;-31.593;0.0763;-534.646
39.063;-220.238;-52.350;-41.361;16.331;-519.383
58.594;-327.686;-89.591;-56.013;26.709;-494.963
78.125;-430.556;-125.916;-72.192;31.593;-469.017
97.656;-521.215;-158.883;-88.370;32.814;-447.039
117.188;-596.917;-186.966;-102.717;31.593;-431.166
136.719;-657.662;-209.554;-114.927;29.762;-420.788
156.250;-703.755;-226.648;-124.084;28.541;-413.767
175.781;-735.195;-237.943;-129.884;29.151;-408.272
195.313;-752.900;-244.048;-132.937;30.678;-401.862
214.844;-758.394;-245.574;-133.242;32.509;-394.231
234.375;-753.510;-243.742;-132.021;34.035;-385.684
253.906;-741.911;-239.469;-129.579;34.341;-378.053
273.438;-727.564;-234.280;-127.137;32.814;-372.558
292.969;-713.828;-229.396;-125.305;30.372;-370.421
312.500;-703.755;-226.038;-124.084;27.320;-371.642
332.031;-697.955;-224.206;-123.779;24.878;-375.305
351.563;-696.734;-223.596;-123.779;23.657;-379.273
371.094;-697.344;-223.291;-123.474;23.962;-382.021
390.625;-697.955;-222.985;-122.863;25.794;-382.326
410.156;-696.734;-222.070;-121.642;27.930;-379.273
429.688;-692.766;-219.933;-119.811;30.067;-374.084
449.219;-686.050;-217.186;-117.979;30.983;-367.979
468.750;-678.419;-214.133;-116.453;30.678;-362.485
488.281;-671.093;-211.691;-115.232;29.457;-359.432
507.813;-666.209;-210.165;-114.927;27.320;-358.517
527.344;-664.377;-209.554;-114.927;25.488;-360.043
546.875;-665.293;-209.554;-115.232;24.267;-362.179
566.406;-667.430;-210.165;-115.537;24.267;-363.706
585.938;-669.261;-210.470;-115.232;25.183;-363.706
605.469;-669.261;-209.860;-114.316;27.015;-361.264
625.000;-666.819;-208.639;-113.095;28.541;-356.990
644.531;-661.630;-206.502;-111.569;29.457;-351.801
664.063;-655.220;-204.060;-110.348;29.762;-346.917
683.594;-648.810;-201.618;-109.127;28.541;-343.559
703.125;-643.926;-199.786;-108.516;27.015;-342.338
722.656;-640.873;-198.871;-108.211;25.488;-342.643
742.188;-640.568;-198.565;-108.211;24.267;-343.864
761.719;-641.178;-198.871;-108.516;24.267;-345.085
781.250;-642.399;-198.871;-108.211;24.878;-345.085
